source,title,authors,institution,text,ref
,730: Scand J Immunol  1999 Jun;49(6):620-8 ,Protein-protein interactions between native Ro52 and immunoglobulin G heavy chain.,"Yang Y, Eversole T, Lee DJ, Sontheimer RD, Capra JD.","Department of Internal Medicine, Pulmonary and Critical Care Division, UT Southwestern Medical Center, 5323 Harry Hines Blvd. Dallas, TX 75235-9034, USA.","Using a yeast two-hybrid system to search for proteins interacting with Ro52 autoantigen, we identified a novel protein-protein interaction. Two different cDNA clones, which interacted with Ro52 in the yeast two-hybrid system, were identified and isolated from a human B-cell library. Surprisingly, both clones encoded the heavy chain of human IgG1. The expression of both HIS3 and beta-galactosidase reporter genes in yeast suggested that the interaction between Ro52 and IgG occurred in vivo. In vitro studies utilizing recombinant Ro52 and purified immunoglobulins indicated that the interaction was immunoglobulin class and subclass specific. Ro52 interacted with IgG1 and IgG4, but not with IgG2, IgG3, IgA or IgM. Ro52 could also precipitate IgG directly from serum. The identified cDNA clones did not include the variable region of IgG, which suggested a non-classical interaction independent of antibody specificity. We further mapped the domain of Ro52 responsible for this interaction to the C-terminus rfp-like region. In conclusion, our data support an unusual interaction between native Ro52 and IgG. The potential biological significance of this unusual protein-protein interaction is discussed."
,731: J Cell Biol  1999 May 31;145(5):933-50 ,The unstable F-box protein p58-Ctf13 forms the structural core of the CBF3 kinetochore complex.,"Russell ID, Grancell AS, Sorger PK.","Massachusetts Institute of Technology, Department of Biology, Cambridge, Massachusetts 02139, USA.","Kinetochores are smaller and more accessible experimentally in budding yeast than in any other eukaryote. Believing that simple and complex kinetochores have important structural and functional properties in common, we characterized the structure of CBF3, the essential centromere-binding complex that initiates kinetochore formation in Saccharomyces cerevisiae. We find that the four subunits of CBF3 are multimeric in solution: p23(Skp1) and p58(Ctf13) form a heterodimer, and p64(Cep3) and p110(Ndc10) form homodimers. Subcomplexes involving p58 and each of the other CBF3 subunits can assemble in the absence of centromeric DNA. In these subcomplexes, p58 appears to function as a structural core mediating stable interactions among other CBF3 proteins. p58 has a short half-life in yeast, being subject to ubiquitin-dependent proteolysis, but we find that it is much more stable following association with p64. We propose that p23(Skp1)-p58-p64 complexes constitute the primary pool of active p58 in yeast cells. These complexes can either dissociate, reexposing p58 to the degradation pathway, or can bind to p110 and centromeric DNA, forming a functional CBF3 complex in which p58 is fully protected from degradation. This pathway may constitute an editing mechanism preventing the formation of ectopic kinetochores and ensuring the fidelity of chromosome segregation."
,732: Methods Enzymol  1999;303:422-50 ,Screening for protein-protein interactions.,"Germino FJ, Moskowitz NK.","University of Medical Dentistry of New Jersey, Clinical Institute of New Jersey, New Brunswick 08901, USA.","The assays described above can be used to screen for cellular proteins that can interact with a protein of interest, to screen for mutant proteins that retain the ability to bind to its partner, and to identify the domains and amino acids involved in known protein-protein interactions. Nonetheless, the biological significance of some of these interactions needs to be confirmed by appropriate cellular studies."
,733: J Biol Chem  1999 Jun 4;274(23):16508-12 ,Species barrier to RNA recognition overcome with nonspecific RNA binding domains.,"Wang CC, Schimmel P.","The Skaggs Institute for Chemical Biology, The Scripps Research Institute, La Jolla, California 92037, USA.","We show here that nonspecific RNA-protein interactions can significantly enhance the biological activity of an essential RNA. protein complex. Bacterial glutaminyl-tRNA synthetase poorly aminoacylates yeast tRNA and, as a consequence, cannot rescue a knockout allele of the gene for the yeast homologue. In contrast to the bacterial protein, the yeast enzyme has an extra appended domain at the N terminus. Previously, we showed that fusion of this yeast-specific domain to the bacterial protein enabled it to function as a yeast enzyme in vivo and in vitro. We suggested that the novel yeast-specific domain contributed to RNA interactions in a way that compensated for the poor fit between the yeast tRNA and bacterial enzyme. Here we establish that the novel appended domain by itself binds nonspecifically to different RNA structures. In addition, we show that fusion of an unrelated yeast protein, Arc1p, to the bacterial enzyme also converts it into a functional yeast enzyme in vivo and in vitro. A small C-terminal segment of Arc1p is necessary and sufficient for this conversion. This segment was shown by others to have nonspecific tRNA binding properties. Thus, nonspecific RNA binding interactions in general can compensate for barriers to formation of a specific and essential RNA.protein complex."
,734: J Biol Chem  1999 Jun 4;274(23):16363-9 ,Structure/function of the beta-barrel domain of F1-ATPase in the yeast Saccharomyces cerevisiae.,"Bakhtiari N, Lai-Zhang J, Yao B, Mueller DM.","Department of Biochemistry and Molecular Biology, Chicago Medical School, North Chicago, Illinois 60064, USA.","The first 90 amino acids of the alpha- and beta-subunits of mitochondrial F1-ATPase are folded into beta-barrel domains and were postulated to be important for stabilizing the enzyme (Abrahams, J. P., Leslie, A. G., Lutter, R., and Walker, J. E. (1994) Nature 370, 621-628). The role of the domains was studied by making chimeric enzymes, replacing the domains from the yeast Saccharomyces cerevisiae enzyme with the corresponding domains from the enzyme of the thermophilic bacterium Bacillus PS3. The enzymes containing the chimeric alpha-, beta-, or alpha- and beta-subunits were not functional. However, gain-of-function mutations were obtained from the strain containing the enzyme with the chimeric PS3/yeast beta-subunit. The gain-of-function mutations were all in codons encoding the beta-barrel domain of the beta-subunit, and the residues appear to map out a region of subunit-subunit interactions. Gain-of-function mutations were also obtained that provided functional expression of the chimeric PS3/yeast alpha- and beta-subunits together. Biochemical analysis of this active chimeric enzyme indicated that it was not significantly more thermostable or labile than the wild type. The results of this study indicate that the beta-barrel domains form critical contacts (distinct from those between the alpha- and beta-subunits) that are important for the assembly of the ATP synthase."
,735: J Biol Chem  1999 Jun 4;274(23):16242-8 ,Physical and functional interactions of neuronal growth suppressor necdin with p53.,"Taniura H, Matsumoto K, Yoshikawa K.","Division of Regulation of Macromolecular Functions, Institute for Protein Research, Osaka University, Yamadaoka 3-2, Suita, Osaka 565-0871, Japan. hideo@protein.osaka-u.ac.jp","Necdin is expressed in virtually all postmitotic neurons, and ectopic expression of this protein suppresses cell proliferation. Necdin, like the retinoblastoma protein, interacts with cell cycle promoting proteins such as simian virus 40 large T antigen, adenovirus E1A, and the transcription factor E2F1. Here we demonstrate that necdin interacts with the tumor suppressor protein p53 as well. The yeast two-hybrid and in vitro binding analyses revealed that necdin bound to a narrow region (amino acids 35-62) located between the MDM2-binding site and the proline-rich region in the amino-terminal domain of p53. The electrophoretic mobility shift assay showed that necdin supershifted a complex between p53 and its binding DNA, implying that the p53-necdin complex is competent for DNA binding. In p53-deficient osteosarcoma SAOS-2 cells, necdin markedly suppressed p53-dependent activation of the p21/WAF promoter. Necdin and p53 inhibited cell growth in an additive manner as assessed by the colony formation of SAOS-2 cells, suggesting that necdin does not affect p53-mediated growth suppression. On the other hand, necdin inhibited p53-induced apoptosis of osteosarcoma U2OS cells. Thus, necdin can be a growth suppressor that targets p53 and modulates its biological functions in postmitotic neurons."
,736: Proc Natl Acad Sci U S A  1999 May 25;96(11):6523-8 ,Interaction of NPR1 with basic leucine zipper protein transcription factors that bind sequences required for salicylic acid induction of the PR-1 gene.,"Zhang Y, Fan W, Kinkema M, Li X, Dong X.","Developmental, Cell, and Molecular Biology Group, Department of Botany, Box 91000, Duke University, Durham, NC 27708-1000, USA.","The Arabidopsis thaliana NPR1 has been shown to be a key regulator of gene expression during the onset of a plant disease-resistance response known as systemic acquired resistance. The npr1 mutant plants fail to respond to systemic acquired resistance-inducing signals such as salicylic acid (SA), or express SA-induced pathogenesis-related (PR) genes. Using NPR1 as bait in a yeast two-hybrid screen, we identified a subclass of transcription factors in the basic leucine zipper protein family (AHBP-1b and TGA6) and showed that they interact specifically in yeast and in vitro with NPR1. Point mutations that abolish the NPR1 function in A. thaliana also impair the interactions between NPR1 and the transcription factors in the yeast two-hybrid assay. Furthermore, a gel mobility shift assay showed that the purified transcription factor protein, AHBP-1b, binds specifically to an SA-responsive promoter element of the A. thaliana PR-1 gene. These data suggest that NPR1 may regulate PR-1 gene expression by interacting with a subclass of basic leucine zipper protein transcription factors."
,737: Genes Genet Syst  1998 Dec;73(6):365-75 ,"Isolation and characterization of the yeast las21 mutants, which are sensitive to a local anestheticum, tetracaine.","Tohe A, Oguchi T.","Department of Biological Sciences, Graduate School of Science, University of Tokyo, Japan.","We isolated and characterized yeast mutants whose growth is sensitive to a local anestheticum tetracaine and, at the same time, temperature sensitive. These mutants were collectively called las mutants (local anestheticum sensitive). The las21 mutants were analyzed in this study. The wild type LAS21 gene was cloned by exploiting temperature sensitivity of the las21 mutants and we found that LAS21 encodes ORF YJL062w which has not been analyzed before. Las21p is putative membrane protein belonging to the major facilitator super family containing plural membrane spanning domains. Complete elimination of the LAS21 ORF did not kill the cells but made their growth temperature sensitive. Interestingly, the complete loss of the LAS21 gene canceled the sensitivity to tetracaine. The ability of the las21 mutants to grow at a higher temperature was recovered in the various media containing an osmotic stabilizer or salts. Furthermore, temperature sensitivity of the las21 mutants was partially suppressed by introduction of PKC1, encoding protein kinase C, on a high copy vector. We found some genetic interactions between LAS21 and Ras/cAMP cascade genes. These results suggest that LAS21 defines unknown pathway regulating the stress response of yeast."
,738: Hum Mol Genet  1999 Jun;8(6):947-57 ,Dentatorubral-pallidoluysian atrophy protein interacts through a proline-rich region near polyglutamine with the SH3 domain of an insulin receptor tyrosine kinase substrate.,"Okamura-Oho Y, Miyashita T, Ohmi K, Yamada M.","Department of Genetics, National Children's Memorial Medical Research Center, Taishido, Setagaya, Tokyo, Japan.","Dentatorubral-pallidoluysian atrophy (DRPLA) is an autosomal dominant neuro degrees enerative disorder associated with CAG/glutamine repeat expansion. While the DRPLA gene is ubiquitously expressed, neuron death occurs in specific anatomical areas of the brain. This predicts that the DRPLA protein interacts with other proteins and that these interactions may play a role in pathogenesis. Here, we describe a protein that binds to the DRPLA product. One of the clones isolated with a yeast two-hybrid system was identified as a human homolog of the insulin receptor tyrosine kinase substrate protein of 53 kDa (IRSp53). The gene produced two mRNA forms by differential splicing and encoded 552 and 521 amino acids, respectively. The longer form was mainly expressed in the brain and the shorter one in other tissues. The products were phosphorylated upon stimulation of cultured cells with insulin or insulin-like growth factor 1. Binding of the DRPLA protein to IRSp53 was ascertained by co-immunoprecipitation with antibodies and also by co-localization in perinuclear oval dots in cells expressing engineered constructs. A proline-rich region near the polyglutamine tract of the DRPLA protein and the SH3 domain of IRSp53 were involved in the binding. An extended polyglutamine tract significantly reduced binding ability in yeast cells, but not in in vitro binding assays. The identification of IRSp53 and other proteins detected by the yeast hybrid system predicts that DRPLA functions in a signal transduction pathway coupled with insulin/IGF-1."
,739: J Cell Biol  1999 May 17;145(4):659-72 ,LST1 is a SEC24 homologue used for selective export of the plasma membrane ATPase from the endoplasmic reticulum.,"Roberg KJ, Crotwell M, Espenshade P, Gimeno R, Kaiser CA.","Department of Biology, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139, USA.","In Saccharomyces cerevisiae, vesicles that carry proteins from the ER to the Golgi compartment are encapsulated by COPII coat proteins. We identified mutations in ten genes, designated LST (lethal with sec-thirteen), that were lethal in combination with the COPII mutation sec13-1. LST1 showed synthetic-lethal interactions with the complete set of COPII genes, indicating that LST1 encodes a new COPII function. LST1 codes for a protein similar in sequence to the COPII subunit Sec24p. Like Sec24p, Lst1p is a peripheral ER membrane protein that binds to the COPII subunit Sec23p. Chromosomal deletion of LST1 is not lethal, but inhibits transport of the plasma membrane proton-ATPase (Pma1p) to the cell surface, causing poor growth on media of low pH. Localization by both immunofluorescence microscopy and cell fractionation shows that the export of Pma1p from the ER is impaired in lst1Delta mutants. Transport of other proteins from the ER was not affected by lst1Delta, nor was Pma1p transport found to be particularly sensitive to other COPII defects. Together, these findings suggest that a specialized form of the COPII coat subunit, with Lst1p in place of Sec24p, is used for the efficient packaging of Pma1p into vesicles derived from the ER."
,740: Mol Cell Biol  1999 Jun;19(6):4414-22 ,DIX domains of Dvl and axin are necessary for protein interactions and their ability to regulate beta-catenin stability.,"Kishida S, Yamamoto H, Hino S, Ikeda S, Kishida M, Kikuchi A.","Department of Biochemistry, Hiroshima University School of Medicine, Minami-ku, Hiroshima 734-8551, Japan.","The N-terminal region of Dvl-1 (a mammalian Dishevelled homolog) shares 37% identity with the C-terminal region of Axin, and this related region is named the DIX domain. The functions of the DIX domains of Dvl-1 and Axin were investigated. By yeast two-hybrid screening, the DIX domain of Dvl-1 was found to interact with Dvl-3, a second mammalian Dishevelled relative. The DIX domains of Dvl-1 and Dvl-3 directly bound one another. Furthermore, Dvl-1 formed a homo-oligomer. Axin also formed a homo-oligomer, and its DIX domain was necessary. The N-terminal region of Dvl-1, including its DIX domain, bound to Axin directly. Dvl-1 inhibited Axin-promoted glycogen synthase kinase 3beta-dependent phosphorylation of beta-catenin, and the DIX domain of Dvl-1 was required for this inhibitory activity. Expression of Dvl-1 in L cells induced the nuclear accumulation of beta-catenin, and deletion of the DIX domain abolished this activity. Although expression of Axin in SW480 cells caused the degradation of beta-catenin and reduced the cell growth rate, expression of an Axin mutant that lacks the DIX domain did not affect the level of beta-catenin or the growth rate. These results indicate that the DIX domains of Dvl-1 and Axin are important for protein-protein interactions and that they are necessary for the ability of Dvl-1 and Axin to regulate the stability of beta-catenin."
,741: Mol Cell Biol  1999 Jun;19(6):4324-33 ,A new class of repression modules is critical for heme regulation of the yeast transcriptional activator Hap1.,"Hach A, Hon T, Zhang L.","Department of Biochemistry, NYU Medical Center, New York, New York 10016, USA.","Heme plays key regulatory roles in numerous molecular and cellular processes for systems that sense or use oxygen. In the yeast Saccharomyces cerevisiae, oxygen sensing and heme signaling are mediated by heme activator protein 1 (Hap1). Hap1 contains seven heme-responsive motifs (HRMs): six are clustered in the heme domain, and a seventh is near the activation domain. To determine the functional role of HRMs and to define which parts of Hap1 mediate heme regulation, we carried out a systematic analysis of Hap1 mutants with various regions deleted or mutated. Strikingly, the data show that HRM1 to -6, located in the previously designated Hap1 heme domain, have little impact on heme regulation. All seven HRMs are dispensable for Hap1 repression in the absence of heme, but HRM7 is required for Hap1 activation by heme. More importantly, we show that a novel class of repression modules-RPM1, encompassing residues 245 to 278; RPM2, encompassing residues 1061 to 1185; and RPM3, encompassing residues 203 to 244-is critical for Hap1 repression in the absence of heme. Biochemical analysis indicates that RPMs mediate Hap1 repression, at least partly, by the formation of a previously identified higher-order complex termed the high-molecular-weight complex (HMC), while HRMs mediate heme activation by permitting heme binding and the disassembly of the HMC. These findings provide significant new insights into the molecular interactions critical for Hap1 repression in the absence of heme and Hap1 activation by heme."
,742: Mol Cell Biol  1999 Jun;19(6):4167-81 ,"GCD14p, a repressor of GCN4 translation, cooperates with Gcd10p and Lhp1p in the maturation of initiator methionyl-tRNA in Saccharomyces cerevisiae.","Calvo O, Cuesta R, Anderson J, Gutierrez N, Garcia-Barrio MT, Hinnebusch AG, Tamame M.","Instituto de Microbiologia Bioquimica del CSIC/Universidad de Salamanca, 37007 Salamanca, Spain.","Gcd10p and Gcd14p were first identified genetically as repressors of GCN4 mRNA translation in Saccharomyces cerevisiae. Recent findings indicate that Gcd10p and Gcd14p reside in a nuclear complex required for the presence of 1-methyladenosine in tRNAs. Here we show that Gcd14p is an essential protein with predicted binding motifs for S-adenosylmethionine, consistent with a direct function in tRNA methylation. Two different gcd14 mutants exhibit defects in cell growth and accumulate high levels of initiator methionyl-tRNA (tRNAiMet) precursors containing 5' and 3' extensions, suggesting a defect in processing of the primary transcript. Dosage suppressors of gcd10 mutations, encoding tRNAiMet (hcIMT1 to hcIMT4; hc indicates that the gene is carried on a high-copy-number plasmid) or a homologue of human La protein implicated in tRNA 3'-end formation (hcLHP1), also suppressed gcd14 mutations. In fact, the lethality of a GCD14 deletion was suppressed by hcIMT4, indicating that the essential function of Gcd14p is required for biogenesis of tRNAiMet. A mutation in GCD10 or deletion of LHP1 exacerbated the defects in cell growth and expression of mature tRNAiMet in gcd14 mutants, consistent with functional interactions between Gcd14p, Gcd10p, and Lhp1p in vivo. Surprisingly, the amounts of NME1 and RPR1, the RNA components of RNases P and MRP, were substantially lower in gcd14 lhp1::LEU2 double mutants than in the corresponding single mutants, whereas 5S rRNA was present at wild-type levels. Our findings suggest that Gcd14p and Lhp1p cooperate in the maturation of a subset of RNA polymerase III transcripts."
,743: Mol Cell Biol  1999 Jun;19(6):4101-12 ,Rapamycin antifungal action is mediated via conserved complexes with FKBP12 and TOR kinase homologs in Cryptococcus neoformans.,"Cruz MC, Cavallo LM, Gorlach JM, Cox G, Perfect JR, Cardenas ME, Heitman J.","Departments of Genetics, Duke University Medical Center, Durham, North Carolina 27710, USA.","Cryptococcus neoformans is a fungal pathogen that causes meningitis in patients immunocompromised by AIDS, chemotherapy, organ transplantation, or high-dose steroids. Current antifungal drug therapies are limited and suffer from toxic side effects and drug resistance. Here, we defined the targets and mechanisms of antifungal action of the immunosuppressant rapamycin in C. neoformans. In the yeast Saccharomyces cerevisiae and in T cells, rapamycin forms complexes with the FKBP12 prolyl isomerase that block cell cycle progression by inhibiting the TOR kinases. We identified the gene encoding a C. neoformans TOR1 homolog. Using a novel two-hybrid screen for rapamycin-dependent TOR-binding proteins, we identified the C. neoformans FKBP12 homolog, encoded by the FRR1 gene. Disruption of the FKBP12 gene conferred rapamycin and FK506 resistance but had no effect on growth, differentiation, or virulence of C. neoformans. Two spontaneous mutations that confer rapamycin resistance alter conserved residues on TOR1 or FKBP12 that are required for FKBP12-rapamycin-TOR1 interactions or FKBP12 stability. Two other spontaneous mutations result from insertion of novel DNA sequences into the FKBP12 gene. Our observations reveal that the antifungal activities of rapamycin and FK506 are mediated via FKBP12 and TOR homologs and that a high proportion of spontaneous mutants in C. neoformans result from insertion of novel DNA sequences, and they suggest that nonimmunosuppressive rapamycin analogs have potential as antifungal agents."
,744: J Biol Chem  1999 May 21;274(21):15262-70 ,"Interaction of insulin receptor substrate 3 with insulin receptor, insulin receptor-related receptor, insulin-like growth factor-1 receptor, and downstream signaling proteins.","Xu P, Jacobs AR, Taylor SI.","Diabetes Branch, NIDDK, National Institutes of Health, Bethesda, Maryland 20892, USA.","Insulin receptor substrates (IRS) mediate biological actions of insulin, growth factors, and cytokines. All four mammalian IRS proteins contain pleckstrin homology (PH) and phosphotyrosine binding (PTB) domains at their N termini. However, the molecules diverge in their C-terminal sequences. IRS3 is considerably shorter than IRS1, IRS2, and IRS4, and is predicted to interact with a distinct group of downstream signaling molecules. In the present study, we investigated interactions of IRS3 with various signaling molecules. The PTB domain of mIRS3 is necessary and sufficient for binding to the juxtamembrane NPXpY motif of the insulin receptor in the yeast two-hybrid system. This interaction is stronger if the PH domain or the C-terminal phosphorylation domain is retained in the construct. As determined in a modified yeast two-hybrid system, mIRS3 bound strongly to the p85 subunit of phosphatidylinositol 3-kinase. Although high affinity interaction required the presence of at least two of the four YXXM motifs in mIRS3, there was not a requirement for specific YXXM motifs. mIRS3 also bound to SHP2, Grb2, Nck, and Shc, but less strongly than to p85. Studies in COS-7 cells demonstrated that deletion of either the PH or the PTB domain abolished insulin-stimulated phosphorylation of mIRS3. Insulin stimulation promoted the association of mIRS3 with p85, SHP2, Nck, and Shc. Despite weak association between mIRS3 and Grb2, this interaction was not increased by insulin, and may not be mediated by the SH2 domain of Grb2. Thus, in contrast to other IRS proteins, mIRS3 appears to have greater specificity for activation of the phosphatidylinositol 3-kinase pathway rather than the Grb2/Ras pathway."
,745: J Biol Chem  1999 May 21;274(21):14685-91 ,Identification of rabbit reticulocyte E217K as a UBC7 homologue and functional characterization of its core domain loop.,"Lin H, Wing SS.","Department of Medicine, McGill University, Montreal, Quebec H3A 2B2, Canada.","The structural basis by which ubiquitin (Ub)-conjugating enzymes (E2s) determine substrate specificity remains unclear. We cloned rabbit reticulocyte E217K because unlike the similarly sized class I E2s, E214K and UBC4, it is unable to support ubiquitin-protein ligase (E3)-dependent conjugation to endogenous proteins. RNA analysis revealed that this E2 was expressed in all tissues tested, with higher levels in the testis. Analysis of testis RNA from rats of different ages showed that E217K mRNA was induced from days 15 to 30. The predicted amino acid sequence indicates that E217K is a 19. 5-kDa class I E2 but differs from other class I enzymes in possessing an insertion of 13 amino acids distal to the active site cysteine. E217K shows 74% amino acid identity with Saccharomyces cerevisiae UBC7, and therefore, we rename it mammalian UBC7. Yeast UBC7 crystal structure indicates that this insertion forms a loop out of the otherwise conserved folding structure. Sequence analysis of E2s had previously suggested that this loop is a hypervariable region and may play a role in substrate specificity. We created mutant UBC7 lacking the loop (ubc7Deltaloop) and a mutant E214k with an inserted loop (E214k+loop) and characterized their biochemical functions. Ubc7Deltaloop had higher affinity for the E1-Ub thiol ester than native UBC7 and permitted conjugation of Ub to selected proteins in the testis but did not permit the broad spectrum E3-dependent conjugation to endogenous reticulocyte proteins. Surprisingly, E214k+loop was unable to accept Ub from ubiquitin-activating enzyme (E1) but was able to accept NEDD8 from E1. E214k+loop was able to support conjugation of NEDD8 to endogenous reticulocyte proteins but with much lower efficiency than E214k. Thus, the loop can influence interactions of the E2 with charged E1 as well as with E3s or substrates, but the exact nature of these interactions depends on divergent sequences in the remaining conserved core domain."
,746: Virology  1999 May 25;258(1):95-9 ,Potyvirus helper component-proteinase self-interaction in the yeast two-hybrid system and delineation of the interaction domain involved.,"Urcuqui-Inchima S, Walter J, Drugeon G, German-Retana S, Haenni AL, Candresse T, Bernardi F, Le Gall O.","Institut Jacques Monod, 2 place Jussieu-Tour 43, Paris Cedex 05, 75251, France.","Using the yeast two-hybrid system, a screen was performed for possible interactions between the proteins encoded by the 5' region of potyviral genomes [P1, helper component-proteinase (HC-Pro), and P3]. A positive self-interaction involving HC-Pro was detected with lettuce mosaic virus (LMV) and potato virus Y (PVY). The possibility of heterologous interaction between the HC-Pro of LMV and of PVY was also demonstrated. No interaction involving either the P1 or the P3 proteins was detected. A series of ordered deletions from either the N- or C-terminal end of the LMV HC-Pro was used to map the domain involved in interaction to the 72 N-terminal amino acids of the protein, a region known to be dispensable for virus viability but necessary for aphid transmission. A similar but less detailed analysis mapped the interacting domain to the N-terminal half of the PVY HC-Pro. Copyright 1999 Academic Press."
,747: J Mol Biol  1999 May 7;288(3):337-52 ,"Characterization of KLBCK1, encoding a MAP kinase kinase kinase of Kluyveromyces lactis.","Jacoby JJ, Kirchrath L, Gengenbacher U, Heinisch JJ.","Institut fur Mikrobiologie, Heinrich-Heine-Universitat Dusseldorf, Universitatsstr.1 Geb.: 26.12, Dusseldorf, D-40225, FRG.","The cellular integrity and response to hypoosmotic conditions in the yeast Saccharomyces cerevisiae are ensured by a MAP kinase signal transduction pathway mediated by the yeast homolog of mammalian protein kinase C. Bck1p functions as the MAP kinase kinase kinase of this pathway. Here we report on the cloning and analysis of the BCK1 homolog from the milk yeast Kluyveromyces lactis (KlBCK1). The deduced protein sequences display three highly conserved domains with the serine/threonine kinase domain containing 89 % identical amino acid residues. Interestingly, a region identified in KlBck1p as a putative SAM domain, mediating protein-protein interactions, is also conserved in ScBck1p. Yet, two-hybrid analyses indicate that this region may not be involved in dimerization of KlBck1p in contrast to its S. cerevisiae counterpart. Expression of KlBCK1 fully complements the defects in a Scbck1 null mutant and is capable of activating the pathway as indicated by a reporter system based on the transcription factor Rlm1p. However, deletion from the haploid K. lactis genome does not result in a loss of cellular integrity under a variety of conditions tested. Thus, despite the functional conservation in this component of the MAP kinase pathway in both yeast, cellular integrity in K. lactis may depend at least in part on different signalling mechanisms when compared with S. cerevisiae. Copyright 1999 Academic Press."
,748: Trends Biochem Sci  1999 Apr;24(4):146-50 ,"Interactions among pathways for phosphatidylcholine metabolism, CTP synthesis and secretion through the Golgi apparatus.","Kent C, Carman GM.","Dept of Biological Chemistry, University of Michigan Medical School, Ann Arbor, MI 48109, USA.","Phosphatidylcholine is the major phospholipid in eukaryotic cells. It serves as a structural component of cell membranes and a reservoir of several lipid messengers. Recent studies in yeast and mammalian systems have revealed interrelationships between the two pathways of phosphatidylcholine metabolism, and between these pathways and those for CTP synthesis and secretion via the Golgi. These processes involve the regulation of the CDP-choline and phosphatidylethanolamine-methylation pathways of phosphatidylcholine synthesis, CTP synthetase, phospholipase D and the phospholipid-transfer protein Sec14p."
,,749: J Cell Biochem  1999 Jun 1;73(3):390-9 ,Human p120ctn catenin: tissue-specific expression of isoforms and molecular interactions with BP180/type XVII collagen.,"Aho S, Rothenberger K, Uitto J.","Department of Dermatology, Jefferson Medical College, and Jefferson Institute of Molecular Medicine, Thomas Jefferson University, Philadelphia, Pennsylvania 19107, USA. aho1@mail.tju.edu"
,,750: Yeast  1999 Apr;15(6):481-96 ,"Analysis of genetic interactions between DHH1, SSD1 and ELM1 indicates their involvement in cellular morphology determination in Saccharomyces cerevisiae.","Moriya H, Isono K.","Graduate School of Science and Technology, Kobe University, Japan."
,,751: EMBO J  1999 May 4;18(9):2424-34 ,A Bub2p-dependent spindle checkpoint pathway regulates the Dbf2p kinase in budding yeast.,"Fesquet D, Fitzpatrick PJ, Johnson AL, Kramer KM, Toyn JH, Johnston LH.","Division of Yeast Genetics, National Institute for Medical Research, The Ridgeway, Mill Hill, London NW7 1AA, UK."
,,752: Anticancer Res  1999 Jan-Feb;19(1A):317-27 ,"Expression, purification and DNA-cleavage activity of recombinant 68-kDa human topoisomerase I-target for antitumor drugs.","Bronstein IB, Wynne-Jones A, Sukhanova A, Fleury F, Ianoul A, Holden JA, Alix AJ, Dodson GG, Jardillier JC, Nabiev I, Wilkinson AJ.","Department of Chemistry, University of York, United Kingdom. igor@yorvic.york.ac.uk"
,,753: J Cell Biol  1999 May 3;145(3):447-55 ,Phosphorylation regulates in vivo interaction and molecular targeting of serine/arginine-rich pre-mRNA splicing factors.,"Yeakley JM, Tronchere H, Olesen J, Dyck JA, Wang HY, Fu XD.","Division of Cellular and Molecular Medicine, Department and School of Medicine, University of California, San Diego, La Jolla, California 92093-0651, USA."
,,754: Genetics  1999 May;152(1):153-66 ,Genetic and biochemical interactions involving tricarboxylic acid cycle (TCA) function using a collection of mutants defective in all TCA cycle genes.,"Przybyla-Zawislak B, Gadde DM, Ducharme K, McCammon MT.","Department of Biochemistry and Molecular Biology, University of Arkansas for Medical Sciences, Little Rock, Arkansas 72205, USA."
,,755: Trends Cell Biol  1999 Apr;9(4):150-3 ,Targeting vesicles to specific sites on the plasma membrane: the role of the sec6/8 complex.,"Hsu SC, Hazuka CD, Foletti DL, Scheller RH.","Howard Hughes Medical Institute and the Dept of Molecular and Cellular Physiology, Stanford University Medical School, Stanford, CA 94305, USA."
PMID: 10203793 [PubMed - indexed for MEDLINE],,,756: Biochemistry  1999 Apr 27;38(17):5401-11 ,Assembly of the type 1 procollagen molecule: selectivity of the interactions between the alpha 1(I)- and alpha 2(I)-carboxyl propeptides.,"Alvares K, Siddiqui F, Malone J, Veis A."
PMID: 10220327 [PubMed - indexed for MEDLINE],,,757: Nucleic Acids Res  1999 May 15;27(10):2181-8 ,A Saccharomyces cerevisiae RNA 5'-triphosphatase related to mRNA capping enzyme.,"Rodriguez CR, Takagi T, Cho EJ, Buratowski S."
PMID: 10219091 [PubMed - indexed for MEDLINE],,,758: Nucleic Acids Res  1999 May 15;27(10):2165-74 ,Isolation of Ku70-binding proteins (KUBs).,"Yang CR, Yeh S, Leskov K, Odegaard E, Hsu HL, Chang C, Kinsella TJ, Chen DJ, Boothman DA."
PMID: 10219089 [PubMed - indexed for MEDLINE],,,759: Nucleic Acids Res  1999 May 15;27(10):2126-34 ,A role for Ctr9p and Paf1p in the regulation G1 cyclin expression in yeast.,"Koch C, Wollmann P, Dahl M, Lottspeich F."
PMID: 10219085 [PubMed - indexed for MEDLINE],,,760: Nucleic Acids Res  1999 May 15;27(10):2072-9 ,Formation of the yeast Mre11-Rad50-Xrs2 complex is correlated with DNA repair and telomere maintenance.,"Chamankhah M, Xiao W."
PMID: 10219078 [PubMed - indexed for MEDLINE],,,761: FEBS Lett  1999 Mar 19;447(1):115-20 ,"The presumed potassium carrier Trk2p in Saccharomyces cerevisiae determines an H+-dependent, K+-independent current.","Bihler H, Gaber RF, Slayman CL, Bertl A."
